Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-04-16,37.72,38.07,37.6,37.91,22509700,0.0,0
2015-04-17,37.47,37.53,37.01,37.42,42387600,0.0,0
2015-04-20,37.52,38.82,37.48,38.58,46057700,0.0,0
2015-04-21,38.66,38.8,38.24,38.34,26013800,0.0,0
2015-04-22,38.37,38.78,38.26,38.66,25064300,0.0,0
2015-04-23,38.57,39.21,38.48,38.97,46309500,0.0,0
2015-04-24,41.06,43.29,41.05,43.04,130933700,0.0,0
2015-04-27,42.47,43.28,42.46,43.19,59248200,0.0,0
2015-04-28,42.96,44.25,42.89,44.2,60730800,0.0,0
2015-04-29,43.81,44.34,43.61,44.11,47804600,0.0,0
2015-04-30,43.79,44.55,43.7,43.74,64725500,0.0,0
2015-05-01,43.68,43.95,43.52,43.75,38937300,0.0,0
2015-05-04,43.49,43.94,43.32,43.38,34039500,0.0,0
2015-05-05,43.0,43.3,42.54,42.8,50369200,0.0,0
2015-05-06,42.77,42.95,41.38,41.61,52433000,0.0,0
2015-05-07,41.61,42.34,41.51,41.99,32971700,0.0,0
2015-05-08,42.76,43.14,42.73,42.94,35364900,0.0,0
2015-05-11,42.76,43.08,42.59,42.59,24609400,0.0,0
2015-05-12,42.13,42.87,41.74,42.58,29928300,0.0,0
2015-05-13,43.33,43.45,42.77,42.83,34184600,0.0,0
2015-05-14,43.19,43.9,43.19,43.81,32980900,0.0,0
2015-05-15,43.94,43.98,43.21,43.43,28642700,0.0,0
2015-05-18,43.14,43.36,42.81,43.17,24136500,0.0,0
2015-05-19,43.04,43.27,42.7,43.06,28574800,0.31,0
2015-05-20,42.89,43.38,42.78,43.06,25047900,0.0,0
2015-05-21,42.79,43.08,42.55,42.92,22410700,0.0,0
2015-05-22,42.81,42.85,42.37,42.45,25720600,0.0,0
2015-05-26,42.38,42.43,41.8,42.17,29581900,0.0,0
2015-05-27,42.37,43.23,42.19,43.09,27335600,0.0,0
2015-05-28,42.99,43.46,42.89,42.94,19283700,0.0,0
2015-05-29,42.93,43.05,42.17,42.41,36519600,0.0,0
